#! 1.step 2.t, ps 3.U, eV 4.K, eV 5.T, K 6.s11, bar 7.s22, bar 8.s33, bar 9.s12, bar 10.s23, bar 11.s31, bar 12.Pxx, bar 13.Pyy, bar 14.Pzz, bar 15.Pxy, bar 16.Pyz, bar 17.Pzx, bar #18.fdx, eV 19.fdy, eV 20.fdz, eV 21.nn 23.ucz, A
# TimeStep v_time c_pe c_ke c_temp v_s11 v_s22 v_s33 v_s12 v_s23 v_s31 c_p[1] c_p[2] c_p[3] c_p[4] c_p[6] c_p[5] c_fdx c_fdy c_fdz c_cn c_ucz
15000 14.9005 -7.43085 0.0399017 309 23652.4 1621.25 -1730.04 343.461 -69.9032 107.088 -679.746 -1315.09 758.071 -126.177 15.1613 -39.1917 -0.027749 -0.0266125 -0.0262989 2.94412 0.129169
15200 15.1005 -7.43111 0.0396622 307.145 23340.3 154.925 -1268.02 77.9796 3.37116 -61.4675 -513.202 -579.267 617.127 -29.7315 -6.2623 22.9395 -0.0274568 -0.0267078 -0.0264894 2.94412 0.130208
15400 15.3005 -7.43143 0.0394831 305.758 22635 -3287.96 -1705.39 24.2578 -42.9785 27.2822 -201.853 998.804 759.403 -9.43446 13.9078 -10.4715 -0.0270306 -0.0268184 -0.0260948 2.94412 0.132752
15600 15.5005 -7.43177 0.0393277 304.554 22532.8 -4282.47 -2011.13 60.5501 -22.4761 -34.8206 -143.218 1530.66 845.437 -5.42885 9.61213 12.6467 -0.0267571 -0.0258572 -0.0261318 2.94412 0.146533
15800 15.7005 -7.43179 0.0389009 301.249 23188.2 -1915.49 -2358.17 343.112 7.52907 49.1463 -398.904 485.645 960.933 -135.639 -4.11411 -16.6916 -0.0266644 -0.0258645 -0.0265769 2.94412 0.149831
16000 15.9005 -7.43202 0.0389052 301.283 23049.2 -1967.3 -2378.4 270.907 7.99099 -16.7255 -403.786 270.476 981.583 -111.484 -1.28672 8.63823 -0.0264949 -0.0261884 -0.0260163 2.94412 0.143046
16200 16.1005 -7.43209 0.0387581 300.144 23975.3 1483.07 -1911.73 -73.8271 40.7045 -8.6938 -783.491 -1247.37 821.722 26.7586 -6.67486 3.80104 -0.026191 -0.0257998 -0.0262513 2.94412 0.134614
16400 16.3005 -7.43217 0.0388082 300.531 24147.6 1865.8 -1856.56 -264.671 -6.1413 35.2564 -868.577 -1483.3 811.862 107.46 1.87265 -11.9413 -0.0259677 -0.026062 -0.0262603 2.94412 0.118511
16600 16.5005 -7.43213 0.0386534 299.333 23449.1 -645.388 -1659.27 -33.8327 7.41356 -53.5515 -561.647 -337.18 748.103 4.18067 -0.123245 20.9785 -0.0260702 -0.0258183 -0.026348 2.94412 0.101521
16800 16.7005 -7.43207 0.0385074 298.202 23284.9 -1153.76 -1431.26 294.024 1.99478 63.3908 -448.825 125.082 664.34 -89.1609 -4.39256 -23.7817 -0.0265614 -0.0253984 -0.0261421 2.94412 0.0913898
17000 16.9005 -7.43224 0.0386416 299.242 22629.2 -4543.24 -1632.27 193.294 -60.6331 -22.8644 -172.64 1604.33 725.869 -77.5626 20.2744 7.82039 -0.026358 -0.0262732 -0.0258007 2.94412 0.0944987
17200 17.1005 -7.43223 0.0385768 298.74 22472.5 -4637.52 -1699.98 -198.393 -36.5693 -16.8872 -109.199 1656.01 752.845 57.5685 14.1728 5.31992 -0.0261764 -0.025838 -0.0257711 2.94412 0.109303
17400 17.3005 -7.43224 0.0385989 298.91 23411 -751.249 -1475.62 -232.738 51.5104 24.5151 -518.145 -151.131 659.809 74.3279 -16.9308 -10.5375 -0.0260711 -0.0261191 -0.0258787 2.94412 0.121872
17600 17.5005 -7.43229 0.0386618 299.398 23586 161.97 -2294.88 213.985 -26.5695 -15.5837 -645.122 -803.287 954.464 -69.5144 16.5372 4.07433 -0.0258125 -0.026539 -0.025608 2.94412 0.126068
17800 17.7005 -7.43214 0.0385503 298.534 24263.1 2486.56 -2503.94 -42.7248 -35.7164 -5.17807 -928.774 -1783.54 1051.82 8.65126 9.17668 2.48733 -0.0259431 -0.0254248 -0.0264329 2.94412 0.128168
18000 17.9005 -7.43223 0.0386282 299.138 23924.4 2294.6 -2142.88 -84.5757 -0.266553 15.3194 -769.205 -1639.19 897.591 38.709 1.83134 -3.8203 -0.0257614 -0.0265896 -0.0260446 2.94412 0.130583
18200 18.1005 -7.4323 0.0386397 299.227 22854.5 -2450.23 -2031.28 -288.867 -95.149 6.91747 -276.388 604.273 829.729 119.19 35.9923 -0.452128 -0.0256545 -0.0258805 -0.0262284 2.94412 0.132607
18400 18.3005 -7.43215 0.0385975 298.899 22427.6 -4393.41 -1633.47 19.2634 -25.8366 16.5216 -67.1846 1680.05 741.817 -4.83192 4.05864 -5.94115 -0.025707 -0.0256773 -0.0266105 2.94412 0.115531
18600 18.5005 -7.43211 0.0386533 299.332 22382.3 -4389.98 -1456.6 -49.2891 38.0849 17.0996 -46.8448 1661.01 673.392 8.38648 -12.7452 -4.04654 -0.0258297 -0.0264378 -0.0264103 2.94412 0.102813
18800 18.7005 -7.43208 0.0386393 299.224 22931.3 -2758.82 -1677.59 73.4904 16.3741 10.943 -296.428 838.07 792.145 -10.786 -7.19028 -4.76116 -0.0255825 -0.0259652 -0.0267709 2.94412 0.0986256
19000 18.9005 -7.43206 0.0387677 300.218 23830.3 1185.22 -1672.55 -209.134 26.6253 -29.6914 -707.13 -1042.04 745.844 64.4451 -4.41943 9.84816 -0.0255209 -0.0260948 -0.0266052 2.94412 0.117568
19200 19.1005 -7.43201 0.0388622 300.95 24127 2769.29 -1861.29 -101.909 56.8812 12.2263 -865.394 -1859.05 803.015 22.1579 -21.7389 -6.70242 -0.0256643 -0.0261091 -0.0267085 2.94412 0.148531
19400 19.3005 -7.43197 0.0389091 301.313 23770.4 1518.58 -2090.31 52.3681 42.8758 -18.4342 -709.777 -1264.91 861.123 -17.9428 -12.595 6.95439 -0.0257245 -0.0261749 -0.0264981 2.94412 0.172926
19600 19.5005 -7.43188 0.0389786 301.851 23196.2 -723.158 -2071.25 288.907 -29.3569 13.4463 -431.071 -138.135 877.001 -93.588 13.3192 -4.89517 -0.0261328 -0.0265532 -0.0264049 2.94412 0.182986
19800 19.7005 -7.43176 0.0390906 302.719 22647.4 -3655.51 -2451.99 -128.232 -43.1423 28.0692 -151.423 1314.44 988.246 54.5863 10.0644 -9.62681 -0.0259956 -0.0266668 -0.0266686 2.94412 0.179285
20000 19.9005 -7.43178 0.0393851 304.999 22295.5 -5306.03 -2332.54 -99.535 1.99793 -40.2747 -7.81998 2102.81 976.858 31.7882 -2.30944 16.0092 -0.0257563 -0.0264692 -0.0265696 2.94412 0.161545
20200 20.1005 -7.43157 0.0393879 305.021 22785.5 -2859.3 -1728.59 98.2963 -46.6253 47.4057 -232.152 872.04 798.285 -41.8738 23.3377 -18.9551 -0.0259587 -0.0273625 -0.0268532 2.94412 0.141459
20400 20.3005 -7.43141 0.0394169 305.245 23490.2 -187.706 -1327.96 48.3892 -1.14222 -24.6768 -576.273 -442.263 597.921 -27.7627 7.22627 11.2617 -0.0264291 -0.0262127 -0.0270851 2.94412 0.143857
20600 20.5005 -7.43123 0.039437 305.401 24045.1 2634.11 -1186.19 11.1664 17.1812 24.8285 -832.256 -1798.64 584.685 -4.70866 -7.31114 -10.4466 -0.0265059 -0.0261263 -0.0274602 2.94412 0.144332
20800 20.7005 -7.43111 0.0395544 306.31 24127.9 2664.3 -1190.75 -80.0774 41.3333 -37.0703 -870.772 -1845.4 573.241 26.2547 -12.1972 14.8047 -0.0265073 -0.0265277 -0.0274088 2.94412 0.141789
21000 20.9005 -7.43121 0.0398322 308.462 23205.2 -1172.11 -1762.47 287.058 -33.4873 33.2384 -473.592 -81.9853 743.428 -104.138 6.74184 -11.6113 -0.0266458 -0.0264754 -0.0270945 2.94412 0.143996
21200 21.1005 -7.43119 0.0398734 308.781 22757.3 -3022.98 -2314.92 115.754 10.533 7.03908 -235.864 935.853 1004.74 -46.4679 -6.44775 0.425648 -0.0267148 -0.026891 -0.0267559 2.94412 0.135496
