#! 1.step 2.t, ns 3.U, eV 4.K, eV 5.T, K 
# TimeStep v_time c_pe c_ke c_temp
105200 105.1 -7.38924 0.0384101 297.464
105400 105.301 -7.38792 0.0395876 306.582
105600 105.501 -7.3886 0.0388065 300.533
105800 105.7 -7.38901 0.038736 299.987
106000 105.9 -7.38934 0.038196 295.805
106200 106.1 -7.38877 0.0386754 299.518
106400 106.301 -7.388 0.0393541 304.774
106600 106.501 -7.38966 0.037851 293.134
106800 106.7 -7.3889 0.0388962 301.228
107000 106.9 -7.38832 0.0389565 301.695
107200 107.1 -7.38961 0.0378357 293.015
107400 107.301 -7.38862 0.039119 302.954
107600 107.501 -7.38851 0.0390492 302.413
107800 107.7 -7.38895 0.0385423 298.487
108000 107.901 -7.38775 0.0395905 306.605
108200 108.1 -7.38852 0.0391898 303.502
108400 108.301 -7.38925 0.0383488 296.989
108600 108.501 -7.38763 0.039601 306.686
108800 108.7 -7.38823 0.0392976 304.336
109000 108.901 -7.38909 0.038613 299.034
109200 109.1 -7.38984 0.0378338 293.001
109400 109.301 -7.38888 0.0386447 299.28
109600 109.501 -7.38832 0.0390284 302.252
109800 109.7 -7.39004 0.0376076 291.248
110000 109.901 -7.38931 0.0381 295.062
110200 110.1 -7.38843 0.0390908 302.735
110400 110.3 -7.38947 0.0379985 294.276
110600 110.501 -7.38942 0.0381611 295.535
110800 110.7 -7.38867 0.0389536 301.672
111000 110.901 -7.38954 0.0378939 293.465
111200 111.1 -7.38954 0.0380346 294.555
111400 111.3 -7.38874 0.038895 301.218
111600 111.501 -7.38928 0.0382341 296.101
111800 111.7 -7.38957 0.0379077 293.572
112000 111.901 -7.38818 0.0391456 303.159
112200 112.1 -7.38924 0.038199 295.828
112400 112.301 -7.3897 0.0380222 294.46
112600 112.501 -7.38837 0.0392783 304.187
112800 112.7 -7.38949 0.0381937 295.787
113000 112.901 -7.38845 0.0391445 303.151
113200 113.1 -7.38815 0.0393243 304.543
113400 113.301 -7.3892 0.03849 298.082
113600 113.5 -7.38862 0.0386915 299.643
113800 113.7 -7.387 0.0405631 314.137
114000 113.901 -7.38816 0.0394311 305.37
114200 114.1 -7.38925 0.0382714 296.389
114400 114.301 -7.38864 0.0391886 303.493
